PP,C,Condition,timestamp,HR,RMSSD,SCL,,,,,
PP1,1,R,20120918T131600000,999,999,80.239727,,,,,999 is NaN
PP1,1,R,20120918T131700000,61,0.06142,77.365127,,,,,
PP1,1,R,20120918T131800000,64,0.049663,77.359559,,,,,
PP1,1,R,20120918T131900000,60,0.052487,76.728772,,,,,
PP1,1,R,20120918T132000000,61,0.051189,76.512877,,,,,
PP1,1,R,20120918T132100000,65,0.037098,76.873877,,,,,
PP1,1,N,20120918T132600000,69,0.044294,68.21287,,,,,
PP1,1,N,20120918T132700000,74,0.037915,67.145289,,,,,
PP1,1,N,20120918T132800000,65,0.066091,67.248375,,,,,
PP1,1,N,20120918T132900000,67,0.045529,65.998403,,,,,
PP1,1,N,20120918T133000000,70,0.042963,66.27938,,,,,
PP1,1,N,20120918T133100000,69,0.05259,67.702527,,,,,
PP1,1,N,20120918T133200000,68,0.052944,66.217699,,,,,
PP1,1,N,20120918T133300000,66,0.05016,67.625462,,,,,
PP1,1,N,20120918T133400000,66,0.034505,66.731162,,,,,
PP1,1,N,20120918T133500000,70,0.042028,67.267059,,,,,
PP1,1,N,20120918T133600000,65,0.042229,68.164472,,,,,
PP1,1,N,20120918T133700000,65,0.052145,68.173421,,,,,
PP1,1,N,20120918T133800000,66,0.054648,67.38317,,,,,
PP1,1,N,20120918T133900000,67,0.051748,65.251621,,,,,
PP1,1,N,20120918T134000000,69,0.05049,64.253475,,,,,
PP1,1,N,20120918T134100000,69,0.031853,63.697593,,,,,
PP1,1,N,20120918T134200000,67,0.041906,63.475775,,,,,
PP1,1,N,20120918T134300000,69,0.046488,64.199901,,,,,
PP1,1,N,20120918T134400000,67,0.029738,63.23822,,,,,
PP1,1,N,20120918T134500000,69,0.035878,63.793363,,,,,
PP1,1,N,20120918T134600000,71,0.030761,63.158369,,,,,
PP1,1,N,20120918T134700000,67,0.036038,62.132903,,,,,
PP1,1,N,20120918T134800000,67,0.047385,63.439268,,,,,
PP1,1,N,20120918T134900000,65,0.14202,62.754529,,,,,
PP1,1,N,20120918T135000000,67,0.082444,61.584872,,,,,
PP1,1,N,20120918T135100000,999,999,62.913549,,,,,
PP1,1,N,20120918T135200000,70,0.038178,63.205819,,,,,
PP1,1,N,20120918T135300000,68,0.098728,62.136688,,,,,
PP1,1,N,20120918T135400000,72,0.07129,61.536467,,,,,
PP1,1,N,20120918T135500000,999,999,61.698506,,,,,
PP1,1,N,20120918T135600000,70,0.05405,61.120339,,,,,
PP1,1,N,20120918T135700000,67,0.130551,59.235228,,,,,
PP1,1,N,20120918T135800000,67,0.058058,59.765614,,,,,
PP1,1,N,20120918T135900000,65,0.065126,58.937163,,,,,
PP1,1,N,20120918T140000000,68,0.032421,59.538086,,,,,
PP1,1,N,20120918T140100000,72,0.038555,59.609233,,,,,
PP1,1,N,20120918T140200000,64,0.027514,57.97461,,,,,
PP1,1,N,20120918T140300000,67,0.030465,59.749963,,,,,
PP1,1,N,20120918T140400000,66,0.03956,60.195209,,,,,
PP1,1,N,20120918T140500000,64,0.06451,59.180433,,,,,
PP1,1,N,20120918T140600000,63,0.153955,59.405891,,,,,
PP1,1,N,20120918T140700000,64,0.047745,60.155477,,,,,
PP1,2,R,20120918T142800000,999,999,62.686665,,,,,
PP1,2,R,20120918T142900000,999,999,67.410764,,,,,
PP1,2,R,20120918T143000000,999,999,68.456016,,,,,
PP1,2,R,20120918T143100000,999,999,61.924602,,,,,
PP1,2,R,20120918T143200000,999,999,62.553652,,,,,
PP1,2,R,20120918T143300000,999,999,66.048272,,,,,
PP1,2,T,20120918T143600000,65,0.031021,62.716422,,,,,
PP1,2,T,20120918T143700000,66,0.096601,62.367833,,,,,
PP1,2,T,20120918T143800000,63,0.060822,62.417151,,,,,
PP1,2,T,20120918T143900000,66,0.036781,60.431061,,,,,
PP1,2,T,20120918T144000000,67,0.02108,60.43059,,,,,
PP1,2,T,20120918T144100000,64,0.044939,61.105801,,,,,
PP1,2,T,20120918T144200000,66,0.044271,60.569495,,,,,
PP1,2,T,20120918T144300000,63,0.041425,60.98637,,,,,
PP1,2,T,20120918T144400000,65,0.04585,62.110854,,,,,
PP1,2,T,20120918T144500000,999,999,60.181237,,,,,
PP1,2,T,20120918T144600000,63,0.036392,60.799698,,,,,
PP1,2,T,20120918T144700000,64,0.044654,61.294046,,,,,
PP1,2,T,20120918T144800000,62,0.039849,62.020273,,,,,
PP1,2,T,20120918T144900000,65,0.038433,63.408377,,,,,
PP1,2,T,20120918T145000000,62,0.074214,63.676875,,,,,
PP1,2,T,20120918T145100000,62,0.046152,63.856276,,,,,
PP1,2,T,20120918T145200000,65,0.063123,63.627719,,,,,
PP1,2,T,20120918T145300000,62,0.047387,64.164839,,,,,
PP1,2,T,20120918T145400000,71,0.032866,63.175696,,,,,
PP1,2,T,20120918T145500000,65,0.048127,59.996933,,,,,
PP1,2,T,20120918T145600000,60,0.042053,61.985641,,,,,
PP1,2,T,20120918T145700000,62,0.054897,64.477568,,,,,
PP1,2,T,20120918T145800000,69,0.038843,64.559337,,,,,
PP1,2,T,20120918T145900000,67,0.048483,65.103271,,,,,
PP1,2,T,20120918T150000000,999,999,63.516815,,,,,
PP1,2,T,20120918T150100000,999,999,999,,added,,,
PP1,2,T,20120918T150200000,999,999,999,,added,,,
PP1,3,R,20120918T152300000,999,999,71.150267,,,,,
PP1,3,R,20120918T152400000,999,999,70.318304,,,,,
PP1,3,R,20120918T152500000,999,999,71.15794,,,,,
PP1,3,R,20120918T152600000,999,999,72.164352,,,,,
PP1,3,R,20120918T152700000,999,999,72.978689,,,,,
PP1,3,R,20120918T152800000,999,999,74.310303,,,,,
PP1,3,I,20120918T153300000,999,999,70.144554,,,,,
PP1,3,I,20120918T153400000,999,999,70.335761,,,,,
PP1,3,I,20120918T153500000,60,0.181799,70.614435,,,,,
PP1,3,I,20120918T153600000,58,0.057015,71.673855,,,,,
PP1,3,I,20120918T153700000,999,999,70.787928,,,,,
PP1,3,I,20120918T153800000,62,0.032067,68.076179,,,,,
PP1,3,I,20120918T153900000,68,0.044335,64.350908,,,,,
PP1,3,I,20120918T154000000,999,999,62.464875,,,,,
PP1,3,I,20120918T154100000,999,999,63.86132,,,,,
PP1,3,I,20120918T154200000,61,0.123104,64.676352,,,,,
PP1,3,I,20120918T154300000,60,0.139942,66.843593,,,,,
PP1,3,I,20120918T154400000,58,0.161088,66.915312,,,,,
PP1,3,I,20120918T154500000,999,999,66.993242,,,,,
PP1,3,I,20120918T154600000,62,0.20475,66.109096,,,,,
PP1,3,I,20120918T154700000,999,999,67.068278,,,,,
PP1,3,I,20120918T154800000,999,999,67.506093,,,,,
PP1,3,I,20120918T154900000,999,999,67.693506,,,,,
PP1,3,I,20120918T155000000,999,999,68.662991,,,,,
PP1,3,I,20120918T155100000,999,999,68.040959,,,,,
PP1,3,I,20120918T155200000,61,0.120737,67.198951,,,,,
PP1,3,I,20120918T155300000,999,999,65.846855,,,,,
PP1,3,I,20120918T155400000,999,999,66.791607,,,,,
PP1,3,I,20120918T155500000,999,999,68.926311,,,,,
PP1,3,I,20120918T155600000,999,999,70.012469,,,,,
PP1,3,I,20120918T155700000,62,0.131125,70.501724,,,,,
PP1,3,I,20120918T155800000,66,0.037924,71.752483,,,,,
PP1,3,I,20120918T155900000,62,0.039196,70.450376,,,,,
PP1,3,I,20120918T160000000,70,0.051239,67.110184,,,,,
PP1,3,I,20120918T160100000,64,0.126579,67.15876,,,,,
PP1,3,I,20120918T160200000,62,0.05582,69.4105,,,,,
PP1,3,I,20120918T160300000,64,0.061607,71.063413,,,,,
PP1,3,I,20120918T160400000,68,0.044639,65.030928,,,,,
PP1,3,I,20120918T160500000,63,0.048643,63.663495,,,,,
PP1,3,I,20120918T160600000,67,0.049109,65.423209,,,,,
PP1,3,I,20120918T160700000,62,0.058354,65.508794,,,,,
PP1,3,I,20120918T160800000,68,0.04791,65.385825,,,,,
PP1,3,I,20120918T160900000,65,0.046271,65.538775,,,,,
PP1,3,I,20120918T161000000,65,0.056532,66.148182,,,,,
PP1,3,I,20120918T161100000,63,0.05471,65.460426,,,,,
PP1,3,I,20120918T161200000,999,999,66.69031,,,,,
PP1,3,I,20120918T161300000,63,0.049588,65.906614,,,,,
PP1,3,I,20120918T161400000,61,0.051008,66.168921,,,,,
PP2,1,R,20120919T131200000,70,0.067058,99.272744,,,,,
PP2,1,R,20120919T131300000,71,0.057202,105.281355,,,,,
PP2,1,R,20120919T131400000,999,999,117.702669,,,,,
PP2,1,R,20120919T131500000,999,999,115.887891,,,,,
PP2,1,R,20120919T131600000,999,999,133.567248,,,,,
PP2,1,R,20120919T131700000,999,999,101.667704,,,,,
PP2,1,N,20120919T132100000,77,0.033452,93.391573,,,,,
PP2,1,N,20120919T132200000,75,0.038485,96.098304,,,,,
PP2,1,N,20120919T132300000,74,0.032061,98.229541,,,,,
PP2,1,N,20120919T132400000,75,0.035849,97.062536,,,,,
PP2,1,N,20120919T132500000,999,999,104.970683,,,,,
PP2,1,N,20120919T132600000,75,0.031762,102.659187,,,,,
PP2,1,N,20120919T132700000,77,0.035179,84.326779,,,,,
PP2,1,N,20120919T132800000,76,0.031079,86.042558,,,,,
PP2,1,N,20120919T132900000,77,0.05558,88.100183,,,,,
PP2,1,N,20120919T133000000,79,0.02893,83.644879,,,,,
PP2,1,N,20120919T133100000,76,0.036645,82.871359,,,,,
PP2,1,N,20120919T133200000,77,0.03051,83.786947,,,,,
PP2,1,N,20120919T133300000,76,0.03745,81.544525,,,,,
PP2,1,N,20120919T133400000,78,0.031661,84.763722,,,,,
PP2,1,N,20120919T133500000,77,0.031009,83.598632,,,,,
PP2,1,N,20120919T133600000,79,0.032081,84.816785,,,,,
PP2,1,N,20120919T133700000,77,0.028674,83.8407,,,,,
PP2,1,N,20120919T133800000,78,0.03333,80.624918,,,,,
PP2,1,N,20120919T133900000,78,0.03632,80.54103,,,,,
PP2,1,N,20120919T134000000,77,0.037889,80.382446,,,,,
PP2,1,N,20120919T134100000,78,0.031209,79.266277,,,,,
PP2,1,N,20120919T134200000,79,0.029773,81.080237,,,,,
PP2,1,N,20120919T134300000,74,0.044637,83.595097,,,,,
